Item,Source,FieldID,BinaryID,RoiID,ObjID,ND.T,ND.M,ND.Z,Class,Area,EqDiameter,Length,Width,MaxFeret,MinFeret,MaxFeret90,Circularity,MeanIntensity,MeanRatio,MeanCa2+,MeanCorrFRET,MeanFRETEff,MeanTitration,Sample,DateCollected,Population,Temperature,pH
19,Frozen,3,Threshold,N/A,32,N/A,N/A,N/A,,10631.52,116.35,126.67,83.93,126.67,111.63,112.49,0.841,41.56,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
20,Frozen,3,Threshold,N/A,35,N/A,N/A,N/A,,7836.48,99.89,123.53,63.44,123.53,86.6,87.1,0.798,29.24,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
21,Frozen,3,Threshold,N/A,39,N/A,N/A,N/A,,12134.88,124.3,136.02,89.21,136.02,117.6,123.54,0.891,30.86,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
22,Frozen,3,Threshold,N/A,40,N/A,N/A,N/A,,13004.64,128.68,166.58,78.07,147.3,120.74,124.97,0.683,39.12,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
23,Frozen,3,Threshold,N/A,41,N/A,N/A,N/A,,9619.2,110.67,142.61,67.45,123.11,110.62,119.03,0.685,35.59,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
24,Frozen,3,Threshold,N/A,56,N/A,N/A,N/A,,10683.36,116.63,126.07,84.74,126.07,109.66,112.52,0.9,37.35,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
25,Frozen,3,Threshold,N/A,78,N/A,N/A,N/A,,10054.08,113.14,124.81,80.56,124.81,105.29,105.93,0.846,27.39,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
26,Frozen,3,Threshold,N/A,85,N/A,N/A,N/A,,11615.04,121.61,133.33,87.11,133.33,113.78,117.99,0.89,41.05,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
27,Frozen,3,Threshold,N/A,102,N/A,N/A,N/A,,10653.12,116.46,127.57,83.51,127.57,109.81,116.65,0.841,34.33,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
28,Frozen,3,Threshold,N/A,129,N/A,N/A,N/A,,10651.68,116.46,152.03,70.06,139.7,106.1,111.22,0.678,36.97,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
29,Frozen,3,Threshold,N/A,144,N/A,N/A,N/A,,10255.68,114.27,159.85,64.16,132.65,107.32,109.43,0.642,34.76,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
30,Frozen,3,Threshold,N/A,158,N/A,N/A,N/A,,12139.2,124.32,166.89,72.74,138.83,121.67,125.89,0.664,36.67,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
31,Frozen,3,Threshold,N/A,159,N/A,N/A,N/A,,10536.48,115.83,129.52,81.35,129.52,107.59,107.84,0.841,46.16,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
32,Frozen,3,Threshold,N/A,175,N/A,N/A,N/A,,11373.12,120.34,137.14,82.93,139.12,116.7,126.25,0.738,41.61,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
33,Frozen,3,Threshold,N/A,178,N/A,N/A,N/A,,10137.6,113.61,128.73,78.75,128.73,106.29,109.16,0.841,39.44,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
34,Frozen,3,Threshold,N/A,195,N/A,N/A,N/A,,11368.8,120.31,183.12,62.08,144.44,115.28,125.39,0.594,36.94,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
35,Frozen,3,Threshold,N/A,214,N/A,N/A,N/A,,10388.16,115.01,147.77,70.3,128.33,109.66,112.84,0.686,32.54,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
36,Frozen,3,Threshold,N/A,235,N/A,N/A,N/A,,8167.68,101.98,121.97,66.96,121.97,85.2,104.14,0.863,30.58,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
37,Frozen,3,Threshold,N/A,237,N/A,N/A,N/A,,5264.64,81.87,125.91,41.81,119.74,57.6,77.75,0.588,54.47,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
38,Frozen,4,Threshold (1),N/A,6,N/A,N/A,N/A,,8690.4,105.19,120.43,72.16,120.43,94.8,100.16,0.911,41.6,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
39,Frozen,4,Threshold (1),N/A,12,N/A,N/A,N/A,,11681.28,121.96,130.93,89.22,130.93,118.39,127.48,0.794,31.1,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
40,Frozen,4,Threshold (1),N/A,44,N/A,N/A,N/A,,12425.76,125.78,142.06,87.47,139.81,120,123.01,0.741,35.93,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
41,Frozen,4,Threshold (1),N/A,47,N/A,N/A,N/A,,11327.04,120.09,129.99,87.14,129.99,114.62,114.84,0.889,37.76,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
42,Frozen,4,Threshold (1),N/A,67,N/A,N/A,N/A,,11790.72,122.53,131.01,90,131.01,115.87,120.3,0.906,43.85,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
43,Frozen,4,Threshold (1),N/A,98,N/A,N/A,N/A,,10710.72,116.78,129.03,83.01,129.03,109.98,115,0.845,37.23,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
44,Frozen,4,Threshold (1),N/A,99,N/A,N/A,N/A,,11092.32,118.84,125.78,88.19,125.78,115.75,121.56,0.791,44.53,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
45,Frozen,4,Threshold (1),N/A,103,N/A,N/A,N/A,,12062.88,123.93,134.26,89.85,134.26,119.1,119.56,0.898,35.73,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
46,Frozen,4,Threshold (1),N/A,104,N/A,N/A,N/A,,11211.84,119.48,127.29,88.08,127.29,114.05,120.05,0.865,54.93,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
47,Frozen,4,Threshold (1),N/A,145,N/A,N/A,N/A,,10810.08,117.32,125.49,86.14,125.49,111.23,115.79,0.887,33.94,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
48,Frozen,4,Threshold (1),N/A,148,N/A,N/A,N/A,,11171.52,119.26,127.7,87.48,127.7,112.89,113.94,0.932,44.32,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
49,Frozen,4,Threshold (1),N/A,152,N/A,N/A,N/A,,10928.16,117.96,128.17,85.26,128.17,112.37,117.27,0.89,32.28,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
50,Frozen,4,Threshold (1),N/A,167,N/A,N/A,N/A,,9384.48,109.31,122.27,76.75,122.27,104.14,109.98,0.854,35.51,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
51,Frozen,4,Threshold (1),N/A,188,N/A,N/A,N/A,,9904.32,112.3,130.69,75.79,130.69,105.62,110.21,0.833,36.2,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
52,Frozen,4,Threshold (1),N/A,190,N/A,N/A,N/A,,11397.6,120.47,132.66,85.92,132.66,112.61,116.01,0.848,40.23,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
53,Frozen,4,Threshold (1),N/A,192,N/A,N/A,N/A,,11207.52,119.46,132.04,84.88,132.04,113.58,118.49,0.858,34.25,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
54,Frozen,4,Threshold (1),N/A,222,N/A,N/A,N/A,,10490.4,115.57,177.01,59.27,143.95,108.3,111.05,0.59,37.21,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
55,Frozen,4,Threshold (1),N/A,241,N/A,N/A,N/A,,9720,111.25,122.83,79.14,122.83,104.14,106.16,0.899,35.82,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
56,Frozen,4,Threshold (1),N/A,247,N/A,N/A,N/A,,11423.52,120.6,134.64,84.85,131.41,118.43,122.22,0.745,34,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
57,Frozen,4,Threshold (1),N/A,256,N/A,N/A,N/A,,11773.44,122.44,131.07,89.83,131.07,114.9,117.64,0.929,38.72,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
58,Frozen,4,Threshold (1),N/A,259,N/A,N/A,N/A,,10252.8,114.26,120.59,85.02,120.59,112.5,115.69,0.895,30.28,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
59,Frozen,4,Threshold (1),N/A,272,N/A,N/A,N/A,,11787.84,122.51,155.28,75.91,140.11,117.63,123.51,0.693,39.57,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
60,Frozen,4,Threshold (1),N/A,293,N/A,N/A,N/A,,10507.68,115.67,125,84.06,125,107.17,112.85,0.924,39.28,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
61,Frozen,4,Threshold (1),N/A,309,N/A,N/A,N/A,,9925.92,112.42,119.81,82.85,119.81,106.95,111.84,0.9,45.19,N/A,N/A,N/A,N/A,N/A,401,5/24/17,Dabob Bay,10,ambient
1,Frozen,1,Threshold,N/A,16,N/A,N/A,N/A,,10703.52,116.74,124.46,86,124.46,112.33,112.98,0.938,39.56,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
2,Frozen,1,Threshold,N/A,18,N/A,N/A,N/A,,10179.36,113.85,123.45,82.46,123.45,108,110.47,0.899,33.21,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
3,Frozen,1,Threshold,N/A,33,N/A,N/A,N/A,,11521.44,121.12,130.25,88.46,130.25,116.05,117.03,0.811,33.06,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
4,Frozen,1,Threshold,N/A,35,N/A,N/A,N/A,,9920.16,112.39,126.2,78.61,126.2,107.27,109.07,0.857,30.12,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
5,Frozen,1,Threshold,N/A,39,N/A,N/A,N/A,,11151.36,119.16,125.49,88.86,125.49,114.85,115.87,0.912,34.3,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
6,Frozen,1,Threshold,N/A,53,N/A,N/A,N/A,,11341.44,120.17,131.29,86.39,131.29,116.4,117.14,0.837,33.7,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
7,Frozen,1,Threshold,N/A,66,N/A,N/A,N/A,,11292.48,119.91,131.25,86.04,131.25,113.9,119.24,0.88,37.27,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
8,Frozen,1,Threshold,N/A,113,N/A,N/A,N/A,,10599.84,116.17,122.89,86.26,122.89,110.4,111.75,0.928,35.73,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
9,Frozen,1,Threshold,N/A,152,N/A,N/A,N/A,,10827.36,117.41,124.33,87.09,129.2,112.8,118,0.761,31.27,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
10,Frozen,1,Threshold,N/A,156,N/A,N/A,N/A,,10735.2,116.91,123.77,86.73,123.77,112.09,112.78,0.92,41.34,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
11,Frozen,1,Threshold,N/A,165,N/A,N/A,N/A,,10800,117.26,129.47,83.42,129.47,111.46,116.88,0.876,39.62,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
12,Frozen,1,Threshold,N/A,218,N/A,N/A,N/A,,11148.48,119.14,148.71,74.97,147.25,112.4,117.28,0.7,45.44,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
13,Frozen,1,Threshold,N/A,228,N/A,N/A,N/A,,10139.04,113.62,120.6,84.07,120.6,108.06,110.93,0.895,42.55,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
14,Frozen,1,Threshold,N/A,230,N/A,N/A,N/A,,10739.52,116.94,147.52,72.8,134.56,111.3,116.48,0.695,39.6,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
15,Frozen,1,Threshold,N/A,258,N/A,N/A,N/A,,10470.24,115.46,122.69,85.34,122.69,110.2,111.8,0.93,28.31,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
16,Frozen,1,Threshold,N/A,274,N/A,N/A,N/A,,10212.48,114.03,124.88,81.78,124.88,107,109.99,0.845,35.79,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
17,Frozen,1,Threshold,N/A,285,N/A,N/A,N/A,,11640.96,121.74,130.73,89.05,130.73,118.87,120.74,0.857,45.45,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
18,Frozen,1,Threshold,N/A,317,N/A,N/A,N/A,,11453.76,120.76,154.14,74.31,132.25,120.64,125.32,0.689,43.93,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
19,Frozen,1,Threshold,N/A,370,N/A,N/A,N/A,,11381.76,120.38,132.93,85.62,132.93,114.73,116.52,0.87,43.17,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
20,Frozen,1,Threshold,N/A,380,N/A,N/A,N/A,,10671.84,116.57,124.1,85.99,124.1,110.4,111.86,0.928,27.94,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
21,Frozen,1,Threshold,N/A,394,N/A,N/A,N/A,,12396.96,125.64,143.6,86.33,143.6,112.88,114.49,0.9,48.39,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
22,Frozen,1,Threshold,N/A,399,N/A,N/A,N/A,,10232.64,114.14,122.71,83.39,122.71,108.66,113.46,0.85,30.14,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
23,Frozen,1,Threshold,N/A,406,N/A,N/A,N/A,,10668.96,116.55,125.37,85.1,125.37,111.02,116.39,0.908,39.79,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
24,Frozen,1,Threshold,N/A,407,N/A,N/A,N/A,,9938.88,112.49,118.83,83.64,118.83,106.8,109.34,0.923,34.64,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
25,Frozen,1,Threshold,N/A,427,N/A,N/A,N/A,,10753.92,117.01,126.37,85.1,126.37,110.68,116.67,0.87,43.45,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
26,Frozen,1,Threshold,N/A,444,N/A,N/A,N/A,,10461.6,115.41,121.75,85.93,121.75,110.4,112.85,0.95,40.9,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
27,Frozen,1,Threshold,N/A,453,N/A,N/A,N/A,,10532.16,115.8,122.66,85.86,122.66,110.36,113.74,0.913,36.02,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
28,Frozen,1,Threshold,N/A,458,N/A,N/A,N/A,,11685.6,121.98,155.75,75.03,153.19,113.75,115.65,0.689,45.14,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
29,Frozen,1,Threshold,N/A,459,N/A,N/A,N/A,,11039.04,118.56,133.45,82.72,133.45,111.6,113.9,0.841,40.41,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
30,Frozen,2,Threshold,N/A,12,N/A,N/A,N/A,,11308.32,119.99,132,85.67,132,113.95,114.6,0.885,44.61,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
31,Frozen,2,Threshold,N/A,20,N/A,N/A,N/A,,10716.48,116.81,124.65,85.97,124.65,111.21,112.79,0.929,31.83,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
32,Frozen,2,Threshold,N/A,31,N/A,N/A,N/A,,12421.44,125.76,143.64,86.48,143.64,112.75,114.52,0.893,51.29,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
33,Frozen,2,Threshold,N/A,41,N/A,N/A,N/A,,10238.4,114.18,122.66,83.47,122.66,107.69,113.98,0.882,30.78,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
34,Frozen,2,Threshold,N/A,45,N/A,N/A,N/A,,10643.04,116.41,125.23,84.99,125.23,110.73,115.35,0.901,39.44,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
35,Frozen,2,Threshold,N/A,47,N/A,N/A,N/A,,9961.92,112.62,119.61,83.29,119.61,106.8,109.76,0.932,34.45,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
36,Frozen,2,Threshold,N/A,60,N/A,N/A,N/A,,10753.92,117.01,128.02,84,128.02,110.7,115.64,0.874,45.98,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
37,Frozen,2,Threshold,N/A,65,N/A,N/A,N/A,,10641.6,116.4,123.68,86.04,123.68,110.47,116.84,0.856,33.61,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
38,Frozen,2,Threshold,N/A,72,N/A,N/A,N/A,,10730.88,116.89,124.65,86.09,124.65,110.4,112.47,0.953,42.63,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
39,Frozen,2,Threshold,N/A,76,N/A,N/A,N/A,,10617.12,116.27,122.54,86.64,122.54,111.52,113.91,0.935,36.8,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
40,Frozen,2,Threshold,N/A,87,N/A,N/A,N/A,,11008.8,118.39,127.45,86.38,127.45,111.6,117.56,0.83,40.84,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
41,Frozen,2,Threshold,N/A,144,N/A,N/A,N/A,,11564.64,121.34,135,85.66,135,116.05,116.59,0.84,35.05,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
42,Frozen,2,Threshold,N/A,158,N/A,N/A,N/A,,11311.2,120.01,148.68,76.08,134.06,119.99,126.38,0.703,37.9,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
43,Frozen,2,Threshold,N/A,165,N/A,N/A,N/A,,10481.76,115.52,167.69,62.51,140.85,103.03,115.09,0.621,33.44,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
44,Frozen,2,Threshold,N/A,192,N/A,N/A,N/A,,10648.8,116.44,123.39,86.3,127.11,110.92,116.09,0.761,37.34,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
45,Frozen,2,Threshold,N/A,235,N/A,N/A,N/A,,11370.24,120.32,128.64,88.39,128.64,118.08,121.21,0.812,38.73,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
46,Frozen,2,Threshold,N/A,270,N/A,N/A,N/A,,10962.72,118.14,152.05,72.1,138.04,115.9,119.16,0.685,38.65,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
47,Frozen,2,Threshold,N/A,280,N/A,N/A,N/A,,10769.76,117.1,124.1,86.78,124.1,111.6,114.17,0.926,38.99,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
48,Frozen,2,Threshold,N/A,325,N/A,N/A,N/A,,8657.28,104.99,138.26,62.62,138.26,88.8,90.49,0.871,32.8,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
49,Frozen,2,Threshold,N/A,336,N/A,N/A,N/A,,10607.04,116.21,131.65,80.57,134.88,108.74,111.37,0.74,27.97,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
50,Frozen,2,Threshold,N/A,342,N/A,N/A,N/A,,11890.08,123.04,129.93,91.51,129.93,117.72,118.38,0.924,31.59,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
51,Frozen,2,Threshold,N/A,372,N/A,N/A,N/A,,10566.72,115.99,125.73,84.04,125.73,110.4,113.26,0.906,34.95,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
52,Frozen,2,Threshold,N/A,404,N/A,N/A,N/A,,11057.76,118.66,125.5,88.11,125.5,114,115.06,0.941,31.98,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
53,Frozen,2,Threshold,N/A,414,N/A,N/A,N/A,,11272.32,119.8,127.34,88.52,127.34,114.71,119.29,0.905,35.88,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
54,Frozen,2,Threshold,N/A,415,N/A,N/A,N/A,,8294.4,102.77,125.27,66.21,125.27,88.36,90.44,0.814,22.51,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
55,Frozen,2,Threshold,N/A,474,N/A,N/A,N/A,,11184.48,119.33,127.81,87.51,127.81,112.8,115.99,0.868,34.16,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
56,Frozen,3,Threshold,N/A,1,N/A,N/A,N/A,,10717.92,116.82,124.8,85.88,124.8,108,120.83,0.892,36.35,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
57,Frozen,3,Threshold,N/A,11,N/A,N/A,N/A,,11093.76,118.85,142,78.12,141.67,112.32,116.61,0.719,33.41,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
58,Frozen,3,Threshold,N/A,56,N/A,N/A,N/A,,11874.24,122.96,185.53,64,145.38,120.38,121.69,0.599,42.71,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
59,Frozen,3,Threshold,N/A,73,N/A,N/A,N/A,,10396.8,115.05,121.89,85.3,121.89,109.81,111.24,0.899,34.01,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
60,Frozen,3,Threshold,N/A,87,N/A,N/A,N/A,,10962.72,118.14,124.52,88.04,124.52,113.99,115.1,0.936,30.91,N/A,N/A,N/A,N/A,N/A,482,5/20/17,Oyster Bay C1,10,ambient
